Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
08/13/2021,20:00:00,Brentford,Arsenal,2.00,0.00,H,1,0,H,M Oliver,8.00,22.00,3.00,4.00,12.00,8.00,2.00,5.00,0.00,0.00,0.00,0.00,4.00,3.40,1.95,4.00,3.50,1.95,3.80,3.40,2.05,4.05,3.46,2.05,4.00,3.40,1.90,4.10,3.40,2.00,4.62,3.72,2.10,4.02,3.43,2.02,2.10,1.72,2.22,1.73,2.26,1.83,2.16,1.73,0.50,1.86,2.07,1.88,2.06,2.05,2.08,1.87,2.03,3.80,3.25,2.05,3.80,3.30,2.05,3.80,3.25,2.10,3.94,3.33,2.13,3.90,3.00,2.05,3.90,3.25,2.10,4.20,3.50,2.18,3.89,3.28,2.10,2.37,1.57,2.44,1.62,2.47,1.75,2.33,1.62,0.50,1.75,2.05,1.81,2.13,2.05,2.17,1.80,2.09
08/14/2021,12:30:00,Man United,Leeds,5.00,1.00,H,1,0,H,P Tierney,16.00,10.00,8.00,3.00,11.00,9.00,5.00,4.00,1.00,2.00,0.00,0.00,1.53,4.50,5.75,1.53,4.50,5.75,1.55,4.40,5.75,1.56,4.57,5.96,1.52,4.33,5.80,1.55,4.40,6.00,1.59,4.65,6.35,1.55,4.48,5.87,1.61,2.30,1.67,2.32,1.71,2.38,1.65,2.29,-1.00,1.95,1.98,1.96,1.96,2.00,2.01,1.93,1.96,1.61,4.20,5.25,1.62,4.10,5.25,1.65,4.20,4.90,1.67,4.20,5.40,1.57,4.20,5.50,1.65,4.10,5.25,1.71,4.33,5.80,1.64,4.19,5.22,1.66,2.20,1.70,2.27,1.75,2.37,1.67,2.25,-1.00,2.05,1.75,2.17,1.77,2.19,1.93,2.10,1.79
08/14/2021,15:00:00,Burnley,Brighton,1.00,2.00,A,1,0,H,D Coote,14.00,14.00,3.00,8.00,10.00,7.00,7.00,6.00,2.00,1.00,0.00,0.00,3.10,3.10,2.45,3.20,3.10,2.40,3.15,3.05,2.45,3.30,3.12,2.51,3.20,3.00,2.45,3.13,3.10,2.45,3.33,3.20,2.60,3.19,3.09,2.49,2.50,1.53,2.56,1.56,2.56,1.63,2.46,1.57,0.25,1.80,2.14,1.83,2.12,1.83,2.17,1.79,2.12,3.10,3.10,2.45,3.25,3.10,2.40,3.10,3.05,2.45,3.27,3.14,2.51,3.10,3.00,2.45,3.13,3.13,2.50,3.35,3.20,2.56,3.19,3.10,2.48,2.30,1.61,2.33,1.67,2.42,1.71,2.34,1.62,0.25,1.79,2.15,1.81,2.14,1.82,2.19,1.79,2.12
08/14/2021,15:00:00,Chelsea,Crystal Palace,3.00,0.00,H,2,0,H,J Moss,13.00,4.00,6.00,1.00,15.00,11.00,5.00,2.00,0.00,0.00,0.00,0.00,1.25,5.75,13.00,1.28,5.75,10.50,1.25,6.00,13.00,1.26,6.24,12.74,1.25,5.50,13.00,1.25,5.75,13.00,1.30,6.30,15.00,1.26,5.92,12.80,1.80,2.00,1.80,2.09,1.84,2.12,1.79,2.06,-1.50,1.84,2.09,1.79,2.12,1.93,2.12,1.83,2.07,1.30,5.25,11.00,1.33,5.00,10.00,1.30,5.25,11.00,1.34,5.40,11.00,1.30,5.25,10.00,1.33,5.00,11.00,1.36,5.50,11.50,1.33,5.17,10.58,1.90,1.90,1.93,1.98,1.96,2.07,1.90,1.94,-1.50,2.05,1.75,2.12,1.81,2.16,1.93,2.06,1.82
08/14/2021,15:00:00,Everton,Southampton,3.00,1.00,H,0,1,A,A Madley,14.00,6.00,6.00,3.00,13.00,15.00,6.00,8.00,2.00,0.00,0.00,0.00,1.90,3.50,4.00,1.95,3.50,3.90,1.95,3.45,3.95,2.01,3.56,4.10,1.95,3.40,4.00,1.95,3.40,4.10,2.04,3.66,4.25,1.97,3.53,4.04,2.00,1.80,2.14,1.78,2.14,1.85,2.07,1.79,-0.50,2.00,1.93,2.01,1.92,2.01,1.97,1.96,1.92,2.00,3.40,3.90,2.05,3.40,3.75,2.00,3.35,4.00,2.05,3.45,4.07,1.95,3.40,3.90,2.00,3.30,4.20,2.12,3.50,4.20,2.04,3.39,3.95,2.20,1.66,2.28,1.69,2.34,1.77,2.24,1.67,-0.50,2.05,1.88,2.05,1.88,2.08,1.90,2.03,1.86
08/14/2021,15:00:00,Leicester,Wolves,1.00,0.00,H,1,0,H,C Pawson,9.00,17.00,5.00,3.00,6.00,10.00,5.00,4.00,1.00,2.00,0.00,0.00,1.66,3.80,5.25,1.67,3.90,5.25,1.70,3.75,5.25,1.73,3.79,5.47,1.70,3.60,5.25,1.70,3.70,5.25,1.75,3.96,5.60,1.71,3.75,5.32,2.09,1.84,2.08,1.84,2.12,1.85,2.04,1.81,-0.75,1.96,1.97,1.96,1.96,1.97,1.99,1.94,1.95,1.70,3.75,5.00,1.72,3.70,5.00,1.73,3.70,4.90,1.76,3.77,5.22,1.66,3.80,5.00,1.73,3.70,5.25,1.82,4.13,5.50,1.74,3.72,5.06,2.00,1.80,2.08,1.82,2.15,1.93,2.06,1.79,-0.75,2.02,1.91,2.01,1.92,2.05,1.95,1.99,1.89
08/14/2021,15:00:00,Watford,Aston Villa,3.00,2.00,H,2,0,H,M Dean,13.00,11.00,7.00,2.00,18.00,13.00,2.00,4.00,3.00,1.00,0.00,0.00,3.10,3.20,2.37,3.25,3.30,2.30,3.05,3.25,2.40,3.18,3.31,2.47,3.20,3.10,2.38,3.10,3.25,2.38,3.30,3.40,2.50,3.14,3.26,2.41,2.00,1.80,2.10,1.83,2.10,1.87,2.03,1.82,0.25,1.83,2.10,1.83,2.11,1.86,2.12,1.82,2.07,3.40,3.30,2.20,3.40,3.30,2.20,3.35,3.15,2.30,3.68,3.35,2.21,3.40,3.20,2.20,3.50,3.30,2.20,3.73,3.45,2.30,3.49,3.30,2.22,2.10,1.72,2.18,1.75,2.23,1.84,2.12,1.74,0.25,2.02,1.91,2.04,1.89,2.04,1.93,1.99,1.90
08/14/2021,17:30:00,Norwich,Liverpool,0.00,3.00,A,0,1,A,A Marriner,14.00,19.00,3.00,8.00,4.00,14.00,3.00,11.00,1.00,1.00,0.00,0.00,9.00,5.75,1.30,9.00,6.00,1.30,7.75,5.50,1.35,8.35,5.86,1.36,9.00,5.25,1.32,9.50,5.50,1.30,9.90,6.00,1.37,8.78,5.71,1.33,1.53,2.50,1.56,2.59,1.56,2.75,1.52,2.59,1.50,1.93,2.00,1.91,2.02,2.00,2.02,1.94,1.95,6.50,4.75,1.44,6.75,4.75,1.45,6.50,5.25,1.43,7.00,4.90,1.48,7.50,5.00,1.38,7.00,4.80,1.45,8.00,5.50,1.50,6.80,4.85,1.46,1.57,2.37,1.57,2.56,1.61,2.60,1.55,2.48,1.25,1.85,2.08,1.85,2.09,2.03,2.10,1.88,2.01
08/15/2021,14:00:00,Newcastle,West Ham,2.00,4.00,A,2,1,H,M Atkinson,17.00,8.00,3.00,9.00,4.00,3.00,7.00,6.00,1.00,0.00,0.00,0.00,3.20,3.50,2.20,3.30,3.40,2.20,3.15,3.45,2.25,3.21,3.59,2.32,3.10,3.40,2.25,3.25,3.40,2.25,3.36,3.61,2.36,3.20,3.51,2.26,1.99,1.94,1.98,1.93,2.01,1.96,1.95,1.90,0.25,1.94,1.99,1.92,2.00,1.97,2.00,1.92,1.96,3.30,3.40,2.20,3.30,3.40,2.20,3.30,3.45,2.20,3.46,3.55,2.21,3.40,3.30,2.15,3.40,3.50,2.15,3.62,3.60,2.27,3.36,3.50,2.19,1.90,1.90,1.92,1.99,1.97,2.05,1.88,1.95,0.25,2.01,1.92,2.02,1.91,2.12,1.94,2.00,1.89
08/15/2021,16:30:00,Tottenham,Man City,1.00,0.00,H,0,0,D,A Taylor,13.00,18.00,3.00,4.00,11.00,8.00,3.00,11.00,2.00,1.00,0.00,0.00,5.50,4.20,1.60,5.25,4.25,1.60,5.25,4.10,1.63,5.56,4.09,1.67,5.50,4.00,1.60,5.50,4.00,1.62,5.85,4.30,1.68,5.49,4.10,1.64,1.89,2.04,1.89,2.02,1.91,2.10,1.85,2.01,1.00,1.73,2.08,1.76,2.19,1.86,2.19,1.79,2.11,6.00,4.10,1.55,6.00,4.20,1.55,5.50,3.95,1.63,5.97,4.25,1.61,5.80,3.80,1.60,6.00,4.00,1.60,6.53,4.33,1.65,5.88,4.12,1.60,1.80,2.00,1.88,2.03,2.00,2.17,1.85,1.99,1.00,1.84,2.09,1.87,2.06,1.94,2.15,1.84,2.05
08/21/2021,12:30:00,Liverpool,Burnley,2.00,0.00,H,1,0,H,M Dean,27.00,9.00,9.00,3.00,6.00,12.00,8.00,4.00,0.00,0.00,0.00,0.00,1.18,7.50,13.00,1.20,7.00,13.50,1.22,6.50,13.00,1.21,6.98,15.68,1.20,6.50,15.00,1.20,7.00,15.00,1.24,7.50,17.00,1.21,6.97,14.41,1.53,2.50,1.56,2.55,1.59,2.61,1.54,2.50,-2.00,2.05,1.75,2.15,1.77,2.15,1.89,2.07,1.81,1.25,6.00,11.00,1.25,6.25,11.50,1.25,6.50,11.00,1.25,6.75,13.50,1.20,6.50,13.00,1.22,6.50,13.00,1.31,7.10,14.00,1.24,6.57,12.29,1.44,2.75,1.47,2.79,1.54,2.85,1.47,2.70,-1.75,1.95,1.98,1.95,1.95,1.97,2.07,1.90,1.98
08/21/2021,15:00:00,Aston Villa,Newcastle,2.00,0.00,H,1,0,H,D Coote,10.00,9.00,2.00,1.00,8.00,18.00,3.00,4.00,3.00,4.00,0.00,0.00,1.80,3.75,4.33,1.80,3.90,4.25,1.83,3.80,4.10,1.83,3.99,4.40,1.80,3.75,4.20,1.80,3.75,4.50,1.87,4.20,4.50,1.82,3.92,4.25,1.72,2.10,1.78,2.15,1.81,2.18,1.77,2.09,-0.75,2.06,1.87,2.08,1.86,2.08,1.88,2.04,1.84,1.80,3.80,4.33,1.83,3.75,4.20,1.83,3.85,4.10,1.87,3.83,4.39,1.80,3.70,4.20,1.83,3.80,4.20,1.89,4.10,4.43,1.84,3.88,4.21,1.72,2.10,1.74,2.21,1.74,2.39,1.68,2.23,-0.50,1.85,2.08,1.87,2.06,1.88,2.11,1.84,2.05
